[19:05:42] Messen mit P=1 ...[INFO] Mi 02.07.2025 19:05:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 21:02:06 CEST → Läuft noch: N=1843200000, P=6
[INFO] Mi 02.07.2025 21:02:16 CEST → Läuft noch: N=1843200000, P=6
[INFO] Mi 02.07.2025 21:02:26 CEST → Läuft noch: N=1843200000, P=6
[INFO] Mi 02.07.2025 21:02:36 CEST → Läuft noch: N=1843200000, P=6
[INFO] Mi 02.07.2025 21:02:46 CEST → Läuft noch: N=1843200000, P=6
[INFO] Mi 02.07.2025 21:02:56 CEST → Läuft noch: N=1843200000, P=6
[INFO] Mi 02.07.2025 21:03:06 CEST → Läuft noch: N=1843200000, P=6
[INFO] Mi 02.07.2025 21:03:16 CEST → Läuft noch: N=1843200000, P=6
[INFO] Mi 02.07.2025 21:03:26 CEST → Läuft noch: N=1843200000, P=6
[INFO] Mi 02.07.2025 21:03:36 CEST → Läuft noch: N=1843200000, P=6
[INFO] Mi 02.07.2025 21:03:46 CEST → Läuft noch: N=1843200000, P=6
[21:03:54] P=6 done
[21:03:54] Messen mit P=7 ...[INFO] Mi 02.07.2025 21:03:56 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:04:06 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:04:16 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:04:26 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:04:36 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:04:46 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:04:56 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:05:06 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:05:16 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:05:26 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:05:36 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:05:46 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:05:56 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:06:06 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:06:16 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:06:26 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:06:36 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:06:46 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:06:56 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:07:06 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:07:16 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:07:26 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:07:36 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:07:46 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:07:56 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:08:06 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:08:16 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:08:26 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:08:36 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:08:46 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:08:56 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:09:06 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:09:16 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:09:26 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:09:36 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:09:46 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:09:56 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:10:06 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:10:16 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:10:26 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:10:36 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:10:46 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:10:56 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:11:06 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:11:16 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:11:26 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:11:36 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:11:47 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:11:57 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:12:07 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:12:17 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:12:27 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:12:37 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:12:47 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:12:57 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:13:07 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:13:17 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:13:27 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:13:37 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:13:47 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:13:57 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:14:07 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:14:17 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:14:27 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:14:37 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:14:47 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:14:57 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:15:07 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:15:17 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:15:27 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:15:37 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:15:47 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:15:57 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:16:07 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:16:17 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:16:27 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:16:37 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:16:47 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:16:57 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:17:07 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:17:17 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:17:27 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:17:37 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:17:47 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:17:57 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:18:07 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:18:17 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:18:27 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:18:37 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:18:47 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:18:57 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:19:07 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:19:17 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:19:27 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:19:37 CEST → Läuft noch: N=1843200000, P=7
[INFO] Mi 02.07.2025 21:19:47 CEST → Läuft noch: N=1843200000, P=7
[21:19:48] P=7 done
[21:19:48] Messen mit P=8 ...[INFO] Mi 02.07.2025 21:19:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:20:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:20:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:20:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:20:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:20:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:20:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:21:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:21:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:21:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:21:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:21:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:21:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:22:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:22:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:22:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:22:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:22:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:22:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:23:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:23:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:23:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:23:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:23:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:23:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:24:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:24:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:24:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:24:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:24:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:24:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:25:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:25:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:25:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:25:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:25:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:25:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:26:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:26:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:26:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:26:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:26:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:26:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:27:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:27:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:27:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:27:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:27:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:27:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:28:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:28:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:28:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:28:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:28:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:28:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:29:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:29:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:29:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:29:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:29:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:29:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:30:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:30:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:30:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:30:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:30:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:30:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:31:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:31:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:31:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:31:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:31:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:31:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:32:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:32:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:32:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:32:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:32:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:32:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:33:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:33:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:33:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:33:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:33:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:33:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:34:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:34:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:34:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:34:37 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:34:47 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:34:57 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:35:07 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:35:17 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:35:27 CEST → Läuft noch: N=1843200000, P=8
[INFO] Mi 02.07.2025 21:35:37 CEST → Läuft noch: N=1843200000, P=8
[21:35:40] P=8 done
[21:35:40] Messen mit P=9 ...[INFO] Mi 02.07.2025 21:35:47 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:35:57 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:36:07 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:36:17 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:36:27 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:36:37 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:36:47 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:36:57 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:37:07 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:37:17 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:37:27 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:37:37 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:37:47 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:37:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:38:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:38:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:38:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:38:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:38:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:38:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:39:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:39:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:39:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:39:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:39:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:39:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:40:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:40:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:40:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:40:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:40:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:40:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:41:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:41:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:41:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:41:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:41:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:41:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:42:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:42:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:42:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:42:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:42:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:42:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:43:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:43:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:43:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:43:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:43:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:43:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:44:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:44:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:44:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:44:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:44:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:44:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:45:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:45:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:45:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:45:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:45:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:45:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:46:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:46:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:46:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:46:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:46:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:46:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:47:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:47:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:47:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:47:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:47:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:47:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:48:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:48:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:48:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:48:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:48:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:48:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:49:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:49:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:49:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:49:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:49:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:49:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:50:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:50:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:50:28 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:50:38 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:50:48 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:50:58 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:51:08 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:51:18 CEST → Läuft noch: N=1843200000, P=9
[INFO] Mi 02.07.2025 21:51:28 CEST → Läuft noch: N=1843200000, P=9
[21:51:29] P=9 done
[21:51:29] Messen mit P=10 ...[INFO] Mi 02.07.2025 21:51:38 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:51:48 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:51:58 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:52:08 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:52:18 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:52:28 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:52:38 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:52:48 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:52:58 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:53:08 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:53:18 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:53:28 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:53:38 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:53:48 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:53:58 CEST → Läuft noch: N=1843200000, P=10
[INFO] Mi 02.07.2025 21:54:08 CEST → Läuft noch: N=1843200000, P=10
